Title,url,Nb_replies,Id
Scrum.org Terms of Use,https://www.scrum.org/forum/scrum-forum/7825/scrumorg-terms-use,0,7825
Need Advice about PSM 1,https://www.scrum.org/forum/scrum-forum/8214/need-advice-about-psm-1,1,8214
What to do if the team is finishing the sprint to early?,https://www.scrum.org/forum/scrum-forum/5554/what-do-if-team-finishing-sprint-early,18,5554
Implementing Scrum Within Waterfall Methodology,https://www.scrum.org/forum/scrum-forum/8229/implementing-scrum-within-waterfall-methodology,1,8229
Team doesn't see value in Scrum,https://www.scrum.org/forum/scrum-forum/8228/team-doesnt-see-value-scrum,1,8228
"I wanted to consult, internet pages where to practice the exam",https://www.scrum.org/forum/scrum-forum/8220/i-wanted-consult-internet-pages-where-practice-exam,0,8220
I have been told Scrum does not deal with technical issues,https://www.scrum.org/forum/scrum-forum/8215/i-have-been-told-scrum-does-not-deal-technical-issues,2,8215
Writing Test cases in Agile,https://www.scrum.org/forum/scrum-forum/8198/writing-test-cases-agile,5,8198
Selecting PBI for the Sprint Backlog,https://www.scrum.org/forum/scrum-forum/8212/selecting-pbi-sprint-backlog,2,8212
My experience tackling the PSM II as a first certification,https://www.scrum.org/forum/scrum-forum/7814/my-experience-tackling-psm-ii-first-certification,3,7814
Development Team:  Can PO & SM be a part of it?,https://www.scrum.org/forum/scrum-forum/8213/development-team-can-po-sm-be-part-it,1,8213
Changing Sprint Backlog,https://www.scrum.org/forum/scrum-forum/8205/changing-sprint-backlog,2,8205
Thoughts on the new PSM II assessment,https://www.scrum.org/forum/scrum-forum/7291/thoughts-new-psm-ii-assessment,23,7291
PSM III in comparison to PSM II,https://www.scrum.org/forum/scrum-forum/7502/psm-iii-comparison-psm-ii,5,7502
Quality metric in SCRUM,https://www.scrum.org/forum/scrum-forum/5713/quality-metric-scrum,10,5713
Scrum practioner questions,https://www.scrum.org/forum/scrum-forum/8181/scrum-practioner-questions,1,8181
Achieved 86% in PSM-1 certification appeared in first attempt,https://www.scrum.org/forum/scrum-forum/8204/achieved-86-psm-1-certification-appeared-first-attempt,1,8204
Scrum Team Roles - are there really only 3?,https://www.scrum.org/forum/scrum-forum/8211/scrum-team-roles-are-there-really-only-3,3,8211
Scrum with DevOps - question about teams,https://www.scrum.org/forum/scrum-forum/8209/scrum-devops-question-about-teams,3,8209
The Sprit Goal is selected BEFORE or AFTER the Sprint Backlog is created,https://www.scrum.org/forum/scrum-forum/5960/sprit-goal-selected-or-after-sprint-backlog-created,18,5960
What belongs solely to Development Team?,https://www.scrum.org/forum/scrum-forum/8207/what-belongs-solely-development-team,1,8207
Completed PSM 1 with 96.3% first attempt,https://www.scrum.org/forum/scrum-forum/8142/completed-psm-1-963-first-attempt,7,8142
Virtual Teams in Scrum Model,https://www.scrum.org/forum/scrum-forum/8163/virtual-teams-scrum-model,4,8163
"Scrum does not work for me, any other option?",https://www.scrum.org/forum/scrum-forum/7954/scrum-does-not-work-me-any-other-option,4,7954
Who is absolutely necessary for one of these meetings?,https://www.scrum.org/forum/scrum-forum/8011/who-absolutely-necessary-one-these-meetings,6,8011
Product backlog management responsibility,https://www.scrum.org/forum/scrum-forum/8195/product-backlog-management-responsibility,5,8195
Story points vs hours,https://www.scrum.org/forum/scrum-forum/8196/story-points-vs-hours,3,8196
Do items listed in your defintion of done end up on your taskboard as individual tasks?,https://www.scrum.org/forum/scrum-forum/8203/do-items-listed-your-defintion-done-end-your-taskboard-individual-tasks,1,8203
PSM I Certification Preparation and a Open Question,https://www.scrum.org/forum/scrum-forum/6046/psm-i-certification-preparation-and-open-question,20,6046
Is self-organisation always appropriate?,https://www.scrum.org/forum/scrum-forum/8185/self-organisation-always-appropriate,6,8185
Time Boxed Events,https://www.scrum.org/forum/scrum-forum/7242/time-boxed-events,8,7242
Passed PSM I,https://www.scrum.org/forum/scrum-forum/8087/passed-psm-i,4,8087
Who is allowed to attend a Daily Meeting,https://www.scrum.org/forum/scrum-forum/5349/who-allowed-attend-daily-meeting,24,5349
A change to the Sprint Backlog during the Sprint,https://www.scrum.org/forum/scrum-forum/5894/change-sprint-backlog-during-sprint,5,5894
Minimum length of a sprint and sprint goal,https://www.scrum.org/forum/scrum-forum/8166/minimum-length-sprint-and-sprint-goal,9,8166
It's not difficult to pass PSM 1,https://www.scrum.org/forum/scrum-forum/8028/its-not-difficult-pass-psm-1,9,8028
Development KPIs and Scrum?,https://www.scrum.org/forum/scrum-forum/8192/development-kpis-and-scrum,0,8192
Open Invitation to Sprint Review,https://www.scrum.org/forum/scrum-forum/8186/open-invitation-sprint-review,3,8186
non-functional requirements,https://www.scrum.org/forum/scrum-forum/7314/non-functional-requirements,9,7314
How to improve communication within a team,https://www.scrum.org/forum/scrum-forum/8088/how-improve-communication-within-team,5,8088
Passed with 90%,https://www.scrum.org/forum/scrum-forum/8123/passed-90,1,8123
Scrum Master Role In Building A Self Organized Team,https://www.scrum.org/forum/scrum-forum/8169/scrum-master-role-building-self-organized-team,0,8169
"Thoughts about *How Scrum works in a fixed Price Projects""",https://www.scrum.org/forum/scrum-forum/5332/thoughts-about-how-scrum-works-fixed-price-projects,15,5332
Unable to Understand a statement in Scrum Guide,https://www.scrum.org/forum/scrum-forum/8148/unable-understand-statement-scrum-guide,1,8148
More than one product manager across a single platform?,https://www.scrum.org/forum/scrum-forum/8149/more-one-product-manager-across-single-platform,1,8149
Starting from ground zero,https://www.scrum.org/forum/scrum-forum/8141/starting-ground-zero,2,8141
For scaled scrum ... do you synchronize the end of the sprints?,https://www.scrum.org/forum/scrum-forum/8127/scaled-scrum-do-you-synchronize-end-sprints,1,8127
online tool for managment scrum team,https://www.scrum.org/forum/scrum-forum/8073/online-tool-managment-scrum-team,6,8073
PSM versus CSM,https://www.scrum.org/forum/scrum-forum/5600/psm-versus-csm,14,5600
PSPO I Certificate,https://www.scrum.org/forum/scrum-forum/8024/pspo-i-certificate,3,8024
Should you have concurrent sprints?,https://www.scrum.org/forum/scrum-forum/7622/should-you-have-concurrent-sprints,1,7622
Help: a Scrum Master is an impediment,https://www.scrum.org/forum/scrum-forum/7545/help-scrum-master-impediment,9,7545
two polarized views   |   decision is needed   |   HOW,https://www.scrum.org/forum/scrum-forum/7619/two-polarized-views-decision-needed-how,2,7619
Retrospective or Not,https://www.scrum.org/forum/scrum-forum/7621/retrospective-or-not,2,7621
Team design in scaled scrum / nexus,https://www.scrum.org/forum/scrum-forum/7614/team-design-scaled-scrum-nexus,2,7614
when definition of done change,https://www.scrum.org/forum/scrum-forum/7430/when-definition-done-change,9,7430
Changing sprint scope and goal,https://www.scrum.org/forum/scrum-forum/5790/changing-sprint-scope-and-goal,17,5790
How to pass PSM 1 easily,https://www.scrum.org/forum/scrum-forum/7617/how-pass-psm-1-easily,1,7617
Demo'ing incomplete stories,https://www.scrum.org/forum/scrum-forum/7616/demoing-incomplete-stories,6,7616
preparing for PSM II exam,https://www.scrum.org/forum/scrum-forum/7615/preparing-psm-ii-exam,0,7615
Cleared PSM 1 in first attemp,https://www.scrum.org/forum/scrum-forum/7358/cleared-psm-1-first-attemp,1,7358
PSM I PASSED - 92% - My tips,https://www.scrum.org/forum/scrum-forum/7484/psm-i-passed-92-my-tips,5,7484
Nexus Integration Team x Scrum Team,https://www.scrum.org/forum/scrum-forum/7544/nexus-integration-team-x-scrum-team,2,7544
Integrated Testing.,https://www.scrum.org/forum/scrum-forum/7547/integrated-testing,12,7547
Nexus Sprint Goal,https://www.scrum.org/forum/scrum-forum/7612/nexus-sprint-goal,0,7612
"Can a student use Google search and Scrum Guide PDF, during the exam?",https://www.scrum.org/forum/scrum-forum/7535/can-student-use-google-search-and-scrum-guide-pdf-during-exam,7,7535
How different scrum teams implement shared components?,https://www.scrum.org/forum/scrum-forum/7549/how-different-scrum-teams-implement-shared-components,2,7549
Definition of Done: for Increment or PBI?,https://www.scrum.org/forum/scrum-forum/7528/definition-done-increment-or-pbi,11,7528
Type of Questions and exam format (PSM I),https://www.scrum.org/forum/scrum-forum/7539/type-questions-and-exam-format-psm-i,1,7539
Finding SM roles - my chicken and egg problem,https://www.scrum.org/forum/scrum-forum/7543/finding-sm-roles-my-chicken-and-egg-problem,4,7543
Multiple product owners for single team,https://www.scrum.org/forum/scrum-forum/7542/multiple-product-owners-single-team,5,7542
Who is responsible for adhering to the DoD?,https://www.scrum.org/forum/scrum-forum/7533/who-responsible-adhering-dod,4,7533
How to mention field position in agile ?,https://www.scrum.org/forum/scrum-forum/7536/how-mention-field-position-agile,7,7536
scrum values,https://www.scrum.org/forum/scrum-forum/7531/scrum-values,3,7531
Clear the confusion in user story,https://www.scrum.org/forum/scrum-forum/7537/clear-confusion-user-story,1,7537
Backlog Refinement,https://www.scrum.org/forum/scrum-forum/7477/backlog-refinement,4,7477
Scrum Team,https://www.scrum.org/forum/scrum-forum/7468/scrum-team,3,7468
Definition of Sprint Backlog from Product Backlog,https://www.scrum.org/forum/scrum-forum/7490/definition-sprint-backlog-product-backlog,8,7490
Scrum Master Remotely - Is it possible?,https://www.scrum.org/forum/scrum-forum/7494/scrum-master-remotely-it-possible,0,7494
Hello all! Planning to take the exam on Christmas eve!!,https://www.scrum.org/forum/scrum-forum/7448/hello-all-planning-take-exam-christmas-eve,10,7448
Huge technical debt and small team. How to deal with this,https://www.scrum.org/forum/scrum-forum/7483/huge-technical-debt-and-small-team-how-deal,8,7483
Editing Sprint points of stories during sprint?,https://www.scrum.org/forum/scrum-forum/7488/editing-sprint-points-stories-during-sprint,12,7488
"XP, Lean, DSDM, Planning Poker part of PSM1",https://www.scrum.org/forum/scrum-forum/7489/xp-lean-dsdm-planning-poker-part-psm1,1,7489
Converting Horizontal Activites to Agile Mode,https://www.scrum.org/forum/scrum-forum/7486/converting-horizontal-activites-agile-mode,4,7486
Questions on Scrum Guide,https://www.scrum.org/forum/scrum-forum/7482/questions-scrum-guide,2,7482
Client acceptance as part of the definition of done?,https://www.scrum.org/forum/scrum-forum/7485/client-acceptance-part-definition-done,9,7485
Enterprise moving to Agile Adoption,https://www.scrum.org/forum/scrum-forum/7480/enterprise-moving-agile-adoption,6,7480
Software Dependancy while ordering PBI,https://www.scrum.org/forum/scrum-forum/7371/software-dependancy-while-ordering-pbi,5,7371
Sprint Backlog,https://www.scrum.org/forum/scrum-forum/7466/sprint-backlog,8,7466
Product owner in nexus vs scrum framework,https://www.scrum.org/forum/scrum-forum/7473/product-owner-nexus-vs-scrum-framework,2,7473
Scrum Team Hours of Work / On-Call,https://www.scrum.org/forum/scrum-forum/7478/scrum-team-hours-work-call,4,7478
Engineering roles inside Scrum team,https://www.scrum.org/forum/scrum-forum/7479/engineering-roles-inside-scrum-team,4,7479
Sprint Goal,https://www.scrum.org/forum/scrum-forum/7458/sprint-goal,12,7458
Passed PSM I with  98.8%,https://www.scrum.org/forum/scrum-forum/7471/passed-psm-i-988,3,7471
When the sprint backlog can change?,https://www.scrum.org/forum/scrum-forum/5436/when-sprint-backlog-can-change,18,5436
CEO nagging CTO to fix a bug,https://www.scrum.org/forum/scrum-forum/7481/ceo-nagging-cto-fix-bug,5,7481
Data Base Design / Model,https://www.scrum.org/forum/scrum-forum/7474/data-base-design-model,6,7474
Using alternative techniques - still Scrum?,https://www.scrum.org/forum/scrum-forum/7476/using-alternative-techniques-still-scrum,4,7476
What takes the Project manager outside of the Scrum team?,https://www.scrum.org/forum/scrum-forum/7409/what-takes-project-manager-outside-scrum-team,18,7409
Questions on SCRUM guide,https://www.scrum.org/forum/scrum-forum/7470/questions-scrum-guide,3,7470
Advice needed,https://www.scrum.org/forum/scrum-forum/7415/advice-needed,5,7415
Incomplete SBI -- Accounting for Velocity,https://www.scrum.org/forum/scrum-forum/7423/incomplete-sbi-accounting-velocity,11,7423
Scaled scrum Questions from Nexus Assessment - Sprint length,https://www.scrum.org/forum/scrum-forum/7428/scaled-scrum-questions-nexus-assessment-sprint-length,1,7428
Sprint Backlog,https://www.scrum.org/forum/scrum-forum/7429/sprint-backlog,6,7429
PSPO cleared with 95%,https://www.scrum.org/forum/scrum-forum/7376/pspo-cleared-95,1,7376
"scrum terminology, scaled scrum",https://www.scrum.org/forum/scrum-forum/7411/scrum-terminology-scaled-scrum,6,7411
Split scrum teams feature based,https://www.scrum.org/forum/scrum-forum/7384/split-scrum-teams-feature-based,9,7384
PSM Question doubt,https://www.scrum.org/forum/scrum-forum/7417/psm-question-doubt,4,7417
Transitioning an Organization,https://www.scrum.org/forum/scrum-forum/7412/transitioning-organization,11,7412
First 2 attempts 82% and 84%. Please help with some guidlines.,https://www.scrum.org/forum/scrum-forum/6212/first-2-attempts-82-and-84-please-help-some-guidlines,11,6212
Can a PO be the customer himself?,https://www.scrum.org/forum/scrum-forum/7357/can-po-be-customer-himself,9,7357
Scaled Scrum - trusted source of information for PSM I exam,https://www.scrum.org/forum/scrum-forum/6838/scaled-scrum-trusted-source-information-psm-i-exam,12,6838
Passed PSMI~95%,https://www.scrum.org/forum/scrum-forum/7422/passed-psmi95,0,7422
Sprint Rollover,https://www.scrum.org/forum/scrum-forum/7419/sprint-rollover,5,7419
Test wording ambiguity,https://www.scrum.org/forum/scrum-forum/7421/test-wording-ambiguity,3,7421
SCALED SCRUM qns,https://www.scrum.org/forum/scrum-forum/7363/scaled-scrum-qns,3,7363
Scrum Masters Notice Period,https://www.scrum.org/forum/scrum-forum/7414/scrum-masters-notice-period,4,7414
PSMII experience report.,https://www.scrum.org/forum/scrum-forum/6891/psmii-experience-report,9,6891
Roadmap to become a Trainer,https://www.scrum.org/forum/scrum-forum/7413/roadmap-become-trainer,1,7413
Question on DOD,https://www.scrum.org/forum/scrum-forum/7368/question-dod,7,7368
PSM 1 Certification exam format,https://www.scrum.org/forum/scrum-forum/7373/psm-1-certification-exam-format,10,7373
"SAFe, Less, DAD what experience you have made?",https://www.scrum.org/forum/scrum-forum/7410/safe-less-dad-what-experience-you-have-made,2,7410
Hardening Sprint,https://www.scrum.org/forum/scrum-forum/7405/hardening-sprint,8,7405
"Scrum is a empirical process, How? why not hybrid, complex and defined?",https://www.scrum.org/forum/scrum-forum/7408/scrum-empirical-process-how-why-not-hybrid-complex-and-defined,1,7408
"Scrum master, product backlog visibility",https://www.scrum.org/forum/scrum-forum/7402/scrum-master-product-backlog-visibility,6,7402
Preparation before Retrospective?,https://www.scrum.org/forum/scrum-forum/7355/preparation-retrospective,7,7355
Sprint lenght,https://www.scrum.org/forum/scrum-forum/6894/sprint-lenght,16,6894
PSM II - Is PSM I a prerequisite?,https://www.scrum.org/forum/scrum-forum/7362/psm-ii-psm-i-prerequisite,1,7362
Scrum team of 17? Is that possible?,https://www.scrum.org/forum/scrum-forum/7347/scrum-team-17-possible,6,7347
PSM1 first attempt 80% close but not reached the target 85% any guidance,https://www.scrum.org/forum/scrum-forum/7348/psm1-first-attempt-80-close-not-reached-target-85-any-guidance,8,7348
"""The Scrum Master wants to build it fast""",https://www.scrum.org/forum/scrum-forum/7354/scrum-master-wants-build-it-fast,4,7354
Should we rather estimate sub-tasks than the story itself on Jira?,https://www.scrum.org/forum/scrum-forum/7352/should-we-rather-estimate-sub-tasks-story-itself-jira,14,7352
Sprint Length Determination for new product,https://www.scrum.org/forum/scrum-forum/7356/sprint-length-determination-new-product,6,7356
Scrum Master with no IT experience?,https://www.scrum.org/forum/scrum-forum/7351/scrum-master-no-it-experience,2,7351
Discussing non-Tasks during daily Scrum meeting?,https://www.scrum.org/forum/scrum-forum/7343/discussing-non-tasks-during-daily-scrum-meeting,18,7343
How to apply scrum in this company,https://www.scrum.org/forum/scrum-forum/7350/how-apply-scrum-company,4,7350
Sprint Goal - how to define?,https://www.scrum.org/forum/scrum-forum/6395/sprint-goal-how-define,6,6395
Sadness for the SCRUM destiny I foretell for myself,https://www.scrum.org/forum/scrum-forum/7345/sadness-scrum-destiny-i-foretell-myself,4,7345
Concept of Sprint Zero,https://www.scrum.org/forum/scrum-forum/7331/concept-sprint-zero,11,7331
Good links for terms/concepts for PSPO I?,https://www.scrum.org/forum/scrum-forum/7306/good-links-termsconcepts-pspo-i,4,7306
User Stories - Writing down the Conversation Results,https://www.scrum.org/forum/scrum-forum/6888/user-stories-writing-down-conversation-results,10,6888
PSM 1 Certification - Do's Don'ts Myths,https://www.scrum.org/forum/scrum-forum/7346/psm-1-certification-dos-donts-myths,2,7346
External Dependencies,https://www.scrum.org/forum/scrum-forum/7341/external-dependencies,2,7341
Scaled Scrum and Cross Team Communication,https://www.scrum.org/forum/scrum-forum/7342/scaled-scrum-and-cross-team-communication,3,7342
Cleared PSM 1 in 1st attempt,https://www.scrum.org/forum/scrum-forum/7344/cleared-psm-1-1st-attempt,0,7344
Scrum and classic project management,https://www.scrum.org/forum/scrum-forum/7312/scrum-and-classic-project-management,12,7312
Software Architecture Languages,https://www.scrum.org/forum/scrum-forum/7340/software-architecture-languages,0,7340
preparation PSM I,https://www.scrum.org/forum/scrum-forum/6369/preparation-psm-i,6,6369
Prospects of a Scrum Master,https://www.scrum.org/forum/scrum-forum/7299/prospects-scrum-master,5,7299
Scrum confusion,https://www.scrum.org/forum/scrum-forum/7308/scrum-confusion,4,7308
"Definition of ""Done"" in multiple Team projects",https://www.scrum.org/forum/scrum-forum/7286/definition-done-multiple-team-projects,3,7286
What's the difference between 'SCRUM OPEN' and 'DEVELOPER OPEN'?,https://www.scrum.org/forum/scrum-forum/7281/whats-difference-between-scrum-open-and-developer-open,3,7281
Daily Scrum and PO,https://www.scrum.org/forum/scrum-forum/7273/daily-scrum-and-po,3,7273
"Wham bam, thank you ma'am - a case against quick & dirty Sprints",https://www.scrum.org/forum/scrum-forum/7268/wham-bam-thank-you-maam-case-against-quick-dirty-sprints,12,7268
Understanding product planning in an empirical environment;,https://www.scrum.org/forum/scrum-forum/7276/understanding-product-planning-empirical-environment,4,7276
What's the difference between 'SCRUM OPEN' and 'DEVELOPER OPEN'?,https://www.scrum.org/forum/scrum-forum/7280/whats-difference-between-scrum-open-and-developer-open,2,7280
"Part III: The unexpected enemy - an Agile Coach introducing ""Somegile""",https://www.scrum.org/forum/scrum-forum/7277/part-iii-unexpected-enemy-agile-coach-introducing-somegile,8,7277
Scrum Master vs Team Lead,https://www.scrum.org/forum/scrum-forum/7278/scrum-master-vs-team-lead,3,7278
PSM1,https://www.scrum.org/forum/scrum-forum/6702/psm1,12,6702
Is anybody preparing for Scrum master PSM I certificate?,https://www.scrum.org/forum/scrum-forum/7245/anybody-preparing-scrum-master-psm-i-certificate,2,7245
Daily Scrum - 3 questions,https://www.scrum.org/forum/scrum-forum/7275/daily-scrum-3-questions,3,7275
The new scrum guide states that only dev team members participate in the daily scrum,https://www.scrum.org/forum/scrum-forum/7232/new-scrum-guide-states-only-dev-team-members-participate-daily-scrum,27,7232
scrum problem sprint,https://www.scrum.org/forum/scrum-forum/7256/scrum-problem-sprint,4,7256
Productivity,https://www.scrum.org/forum/scrum-forum/7272/productivity,4,7272
Scrum Mater,https://www.scrum.org/forum/scrum-forum/7269/scrum-mater,3,7269
Product Backlog - Dependences,https://www.scrum.org/forum/scrum-forum/7270/product-backlog-dependences,4,7270
Large User Stories,https://www.scrum.org/forum/scrum-forum/7271/large-user-stories,2,7271
Unresolved conflict in team,https://www.scrum.org/forum/scrum-forum/7249/unresolved-conflict-team,9,7249
Kill the Sprint,https://www.scrum.org/forum/scrum-forum/7263/kill-sprint,9,7263
In Real Life What does Scrum master do exactly?,https://www.scrum.org/forum/scrum-forum/7257/real-life-what-does-scrum-master-do-exactly,3,7257
To Retro or not to Retro,https://www.scrum.org/forum/scrum-forum/7254/retro-or-not-retro,4,7254
PSM I Mock Exams,https://www.scrum.org/forum/scrum-forum/6615/psm-i-mock-exams,9,6615
Abnormal Sprint Termination,https://www.scrum.org/forum/scrum-forum/7262/abnormal-sprint-termination,2,7262
My name in the PSM I certificate got changed automatically,https://www.scrum.org/forum/scrum-forum/7267/my-name-psm-i-certificate-got-changed-automatically,1,7267
Diff between Product Owner and Product Manager role,https://www.scrum.org/forum/scrum-forum/5861/diff-between-product-owner-and-product-manager-role,11,5861
User Story - at business rule / field validation level.,https://www.scrum.org/forum/scrum-forum/7210/user-story-business-rule-field-validation-level,7,7210
Vertical Slicing of User Story for API/Web Service developmet,https://www.scrum.org/forum/scrum-forum/7204/vertical-slicing-user-story-apiweb-service-developmet,7,7204
Can sprints's lenght vary in the same product backlog construction?,https://www.scrum.org/forum/scrum-forum/7217/can-sprintss-lenght-vary-same-product-backlog-construction,6,7217
What belongs solely to the Development Team?,https://www.scrum.org/forum/scrum-forum/7214/what-belongs-solely-development-team,10,7214
